Session Key,Result,Decline Type,Original Transaction Amount,Transaction Amount,Status Code,Response Message,Transaction Time,Transaction Reversal,Date and Time
34Q7GZ6E03,success,,316555.84,316555.84,00,Transaction Approved,2023-09-29 01:21:03.497498,no,2023-09-29 01:21:03
3HP54SOQHE,failure,technical,384961.27,384961.27,200,,2023-09-29 05:06:03.497513,no,2023-09-29 05:06:03
CS5TA39G52,success,,710984.57,-255298.29,0,Transaction Approved,2023-09-28 19:17:03.497527,yes,2023-09-28 19:17:03
X4KSSB2HDQ,success,,493995.57,-404708.35,000,Transaction Approved,2023-09-29 10:27:03.497541,yes,2023-09-29 10:27:03
8B5DLZESRQ,success,,617314.7,-509835.2,0,Transaction Approved,2023-09-29 07:39:03.497557,yes,2023-09-29 07:39:03
8W3WEZ2Z9F,success,,36414.87,36414.87,0,Transaction Approved,2023-09-29 06:01:03.497572,no,2023-09-29 06:01:03
MU3QKCU4P3,success,,416090.87,416090.87,0,Transaction Approved,2023-09-28 17:43:03.497586,no,2023-09-28 17:43:03
1658QB14VW,success,,342757.07,-39511.86,0,Transaction Approved,2023-09-29 11:59:03.497601,yes,2023-09-29 11:59:03
DN6D3LZYJ4,success,,837045.86,837045.86,0,Transaction Approved,2023-09-29 02:37:03.497616,no,2023-09-29 02:37:03
58YH881MSZ,failure,technical,985511.24,-268931.52,200,,2023-09-28 16:26:03.497631,yes,2023-09-28 16:26:03
MGKAGXSEIM,success,,472240.58,-160076.52,00,Transaction Approved,2023-09-29 07:47:03.497647,yes,2023-09-29 07:47:03
M8TD5YIYMP,success,,827224.44,827224.44,0,Transaction Approved,2023-09-29 06:09:03.497662,no,2023-09-29 06:09:03
CPMSOKMD2V,success,,534130.75,-353299.74,0,Transaction Approved,2023-09-29 03:12:03.497676,yes,2023-09-29 03:12:03
AUFLIRJZT3,failure,business,301297.11,-56772.06,400,,2023-09-29 09:06:03.497692,yes,2023-09-29 09:06:03
GVUXCPZGIZ,failure,business,204317.92,-174451.95,600,,2023-09-28 18:46:03.497709,yes,2023-09-28 18:46:03
Q9L8Q59NYK,failure,business,282180.72,-111749.03,500,,2023-09-29 10:53:03.497731,yes,2023-09-29 10:53:03
YJ9HXGAC0N,failure,business,266382.68,266382.68,600,,2023-09-29 06:44:03.497747,no,2023-09-29 06:44:03
M1PZGB1H2P,failure,business,30129.91,30129.91,500,,2023-09-28 19:29:03.497763,no,2023-09-28 19:29:03
IXU345K1UM,failure,business,883598.72,-587082.4,600,,2023-09-28 20:20:03.497778,yes,2023-09-28 20:20:03
I30HSD49JM,failure,business,418991.11,418991.11,600,,2023-09-28 16:49:03.497795,no,2023-09-28 16:49:03
PNPPMUUZ78,success,,55440.31,55440.31,0,Transaction Approved,2023-09-29 06:51:03.497809,no,2023-09-29 06:51:03
I2AB9MXIC3,failure,business,998313.85,-621522.39,600,,2023-09-29 00:49:03.497824,yes,2023-09-29 00:49:03
FLVFJGUYYI,failure,technical,655955.92,655955.92,300,,2023-09-29 03:59:03.497841,no,2023-09-29 03:59:03
YSE9AMEPAP,success,,935916.23,935916.23,000,Transaction Approved,2023-09-28 12:53:03.497855,no,2023-09-28 12:53:03
OPANA97NLY,failure,technical,568708.94,568708.94,300,,2023-09-28 23:00:03.497870,no,2023-09-28 23:00:03
A0C3Z0F6Y5,failure,business,776123.69,776123.69,500,,2023-09-29 11:45:03.497885,no,2023-09-29 11:45:03
583P0Y3IL6,failure,technical,916782.81,-488370.58,300,,2023-09-28 21:34:03.497901,yes,2023-09-28 21:34:03
AR5CP6JVIN,failure,technical,277250.31,-64980.15,100,,2023-09-28 14:45:03.497917,yes,2023-09-28 14:45:03
1658IXYIRM,failure,business,609485.95,-225807.91,400,,2023-09-29 03:43:03.497933,yes,2023-09-29 03:43:03
BN5QUIX2O1,success,,134038.73,134038.73,00,Transaction Approved,2023-09-29 02:38:03.497948,no,2023-09-29 02:38:03
NFHB4FZCV8,failure,technical,169377.91,-95835.65,300,,2023-09-29 00:03:03.497963,yes,2023-09-29 00:03:03
985B9ARUYW,failure,technical,819868.07,819868.07,100,,2023-09-29 10:42:03.497987,no,2023-09-29 10:42:03
SH24TNXT0W,success,,435386.47,-383613.57,0,Transaction Approved,2023-09-29 05:06:03.498001,yes,2023-09-29 05:06:03
9YVXUJHPRO,failure,business,738494.92,738494.92,400,,2023-09-29 12:11:03.498018,no,2023-09-29 12:11:03
EU0IU8JS2X,success,,680077.66,-91341.38,00,Transaction Approved,2023-09-28 22:43:03.498032,yes,2023-09-28 22:43:03
BZ8KJ6K0P2,failure,business,776461.96,776461.96,600,,2023-09-29 10:45:03.498048,no,2023-09-29 10:45:03
P1IGKFNLAX,success,,960104.23,960104.23,0,Transaction Approved,2023-09-29 01:51:03.498063,no,2023-09-29 01:51:03
KWSSNF5B6Z,failure,technical,283447.46,-104357.7,100,,2023-09-28 20:24:03.498079,yes,2023-09-28 20:24:03
6AYQB9TG2Q,failure,business,18962.66,-9661.23,500,,2023-09-28 13:25:03.498095,yes,2023-09-28 13:25:03
SMGQMY8RYY,success,,913790.52,913790.52,000,Transaction Approved,2023-09-29 01:02:03.498111,no,2023-09-29 01:02:03
HPCGY1YM83,success,,607186.27,607186.27,00,Transaction Approved,2023-09-28 16:03:03.498126,no,2023-09-28 16:03:03
4KVVDR4EKK,success,,451357.42,-358332.51,00,Transaction Approved,2023-09-28 22:43:03.498141,yes,2023-09-28 22:43:03
04D2MQLE35,success,,387428.81,387428.81,00,Transaction Approved,2023-09-28 13:00:03.498157,no,2023-09-28 13:00:03
KFOL55Z4LO,failure,business,274214.24,274214.24,400,,2023-09-29 10:15:03.498174,no,2023-09-29 10:15:03
BGXJVG1K1Y,success,,555285.69,555285.69,000,Transaction Approved,2023-09-28 13:00:03.498189,no,2023-09-28 13:00:03
GL9G01RQAY,success,,766803.14,-320070.43,00,Transaction Approved,2023-09-29 12:02:03.498203,yes,2023-09-29 12:02:03
12OE51MEZR,failure,technical,943585.35,-770020.33,100,,2023-09-28 16:09:03.498220,yes,2023-09-28 16:09:03
CSWYUJ4ERV,success,,667635.86,667635.86,000,Transaction Approved,2023-09-29 00:53:03.498235,no,2023-09-29 00:53:03
OTHPDOCJRK,success,,315847.14,-245676.0,0,Transaction Approved,2023-09-28 13:22:03.498249,yes,2023-09-28 13:22:03
BVH8NTKZX3,failure,technical,23389.11,23389.11,300,,2023-09-29 07:15:03.498266,no,2023-09-29 07:15:03
VR1ZWO2GAO,failure,business,836678.53,836678.53,400,,2023-09-28 12:58:03.498281,no,2023-09-28 12:58:03
LDM6826VUV,failure,technical,52785.54,-12389.73,300,,2023-09-29 04:22:03.498297,yes,2023-09-29 04:22:03
5LKU7Z2AUH,success,,37420.2,-27374.5,0,Transaction Approved,2023-09-29 06:33:03.498313,yes,2023-09-29 06:33:03
L2RU9G93VA,success,,517056.21,517056.21,000,Transaction Approved,2023-09-28 20:27:03.498328,no,2023-09-28 20:27:03
IPGN25BZ03,success,,867896.59,867896.59,0,Transaction Approved,2023-09-29 07:29:03.498342,no,2023-09-29 07:29:03
G2FJ0TIBHD,success,,924258.82,-682783.67,0,Transaction Approved,2023-09-28 12:35:03.498357,yes,2023-09-28 12:35:03
IAOPI5NIKX,failure,technical,582289.81,582289.81,300,,2023-09-28 17:07:03.498373,no,2023-09-28 17:07:03
YGZ54LGRBL,success,,632284.35,-526198.62,0,Transaction Approved,2023-09-28 22:57:03.498387,yes,2023-09-28 22:57:03
9JMQAXIKON,failure,technical,150614.0,-117409.79,300,,2023-09-29 00:50:03.498404,yes,2023-09-29 00:50:03
R51PVQFYS5,success,,296504.72,296504.72,00,Transaction Approved,2023-09-28 14:42:03.498420,no,2023-09-28 14:42:03
XXHJU29JFA,failure,business,351267.06,-236177.88,500,,2023-09-29 00:49:03.498435,yes,2023-09-29 00:49:03
RI1O7F8M2F,failure,technical,346993.59,346993.59,200,,2023-09-28 16:19:03.498451,no,2023-09-28 16:19:03
EQPUIVVW91,failure,technical,529918.08,529918.08,300,,2023-09-29 12:02:03.498467,no,2023-09-29 12:02:03
7TDGVOAVC6,failure,business,80898.73,80898.73,600,,2023-09-28 23:47:03.498482,no,2023-09-28 23:47:03
8XVXZ5U54J,success,,300178.15,300178.15,0,Transaction Approved,2023-09-28 23:40:03.498496,no,2023-09-28 23:40:03
IIV1N30V9W,failure,business,144149.49,-69787.47,600,,2023-09-28 14:17:03.498511,yes,2023-09-28 14:17:03
A3QNJKZGFV,failure,business,662844.09,-309904.56,600,,2023-09-29 02:44:03.498529,yes,2023-09-29 02:44:03
SHWVGPVT0V,success,,240042.86,240042.86,00,Transaction Approved,2023-09-29 02:15:03.498545,no,2023-09-29 02:15:03
XAG24X2QUU,failure,business,434801.18,434801.18,500,,2023-09-29 08:41:03.498560,no,2023-09-29 08:41:03
29PC128V3D,success,,472132.49,-128873.5,0,Transaction Approved,2023-09-28 12:48:03.498575,yes,2023-09-28 12:48:03
UTDMKDE9YO,failure,business,288244.36,288244.36,500,,2023-09-29 00:13:03.498591,no,2023-09-29 00:13:03
NN6EA4QUXR,success,,738901.47,738901.47,000,Transaction Approved,2023-09-29 00:50:03.498606,no,2023-09-29 00:50:03
KB09N39JWG,success,,242898.44,242898.44,00,Transaction Approved,2023-09-29 00:56:03.498620,no,2023-09-29 00:56:03
8TMLEJCLD0,success,,635669.52,-283662.11,0,Transaction Approved,2023-09-29 09:30:03.498635,yes,2023-09-29 09:30:03
HROSOSP4NJ,failure,technical,900802.57,900802.57,200,,2023-09-29 07:01:03.498651,no,2023-09-29 07:01:03
JCZG2EGL8J,success,,637267.01,-478823.61,00,Transaction Approved,2023-09-28 22:51:03.498667,yes,2023-09-28 22:51:03
VW8ZB7EQV7,success,,920881.67,920881.67,00,Transaction Approved,2023-09-28 17:51:03.498682,no,2023-09-28 17:51:03
U16AHLCGHU,failure,technical,281361.15,281361.15,100,,2023-09-28 21:08:03.498697,no,2023-09-28 21:08:03
1WXEE153NO,success,,782459.45,782459.45,0,Transaction Approved,2023-09-29 06:53:03.498714,no,2023-09-29 06:53:03
YOFLDCY482,success,,483409.87,-405688.94,00,Transaction Approved,2023-09-28 20:20:03.498733,yes,2023-09-28 20:20:03
KXBOK74QEO,failure,business,66072.28,66072.28,600,,2023-09-29 01:23:03.498749,no,2023-09-29 01:23:03
UDG4KBTSWJ,success,,838921.94,-599562.93,000,Transaction Approved,2023-09-29 06:42:03.498764,yes,2023-09-29 06:42:03
KQD2V91397,success,,983051.51,-267413.1,000,Transaction Approved,2023-09-28 20:40:03.498779,yes,2023-09-28 20:40:03
G0UGP193KZ,success,,545839.47,-259643.71,000,Transaction Approved,2023-09-29 10:48:03.498794,yes,2023-09-29 10:48:03
DQGAZON6L5,failure,business,244213.17,-155015.87,400,,2023-09-29 08:19:03.498810,yes,2023-09-29 08:19:03
PQ90A6UFV4,failure,technical,772550.71,-392161.0,100,,2023-09-28 22:42:03.498827,yes,2023-09-28 22:42:03
0Q59CT83Q5,failure,business,991710.33,991710.33,500,,2023-09-28 16:18:03.498844,no,2023-09-28 16:18:03
PXV1TCJMWL,success,,972930.32,-735076.46,0,Transaction Approved,2023-09-29 07:35:03.498859,yes,2023-09-29 07:35:03
PV7YWGK2L3,failure,business,455687.87,-151482.66,500,,2023-09-29 00:48:03.498875,yes,2023-09-29 00:48:03
8RC2UJ5KMC,failure,technical,677804.36,-400767.56,100,,2023-09-28 18:22:03.498891,yes,2023-09-28 18:22:03
B5YWOQTU5P,failure,technical,767202.67,767202.67,200,,2023-09-29 12:17:03.498907,no,2023-09-29 12:17:03
3BJ0EMHMW7,success,,216433.76,-82301.63,00,Transaction Approved,2023-09-28 16:15:03.498929,yes,2023-09-28 16:15:03
2F3L6JQ4BR,failure,business,892982.01,892982.01,500,,2023-09-29 08:52:03.498945,no,2023-09-29 08:52:03
A5TKGU1AXF,success,,378600.69,378600.69,000,Transaction Approved,2023-09-28 19:04:03.498960,no,2023-09-28 19:04:03
ZN0U2TQXN6,success,,761053.96,-95467.81,00,Transaction Approved,2023-09-28 15:47:03.498980,yes,2023-09-28 15:47:03
L2BYH3CZ0W,failure,technical,615992.92,615992.92,300,,2023-09-29 02:24:03.498997,no,2023-09-29 02:24:03
AX4NKSXXVS,success,,803965.42,-650674.05,000,Transaction Approved,2023-09-29 07:19:03.499011,yes,2023-09-29 07:19:03
