Session Key,Result,Decline Type,Original Transaction Amount,Transaction Amount,Status Code,Response Message,Transaction Time,Transaction Reversal,Date and Time,Day of the Week
61QZI2GWJH,success,,983239.01,-773461.18,0,Transaction Approved,2023-09-01 02:19:00,yes,2023-09-01 02:19:00,Friday
EHRLN21Q4Q,success,,278372.32,-102974.63,0,Transaction Approved,2023-09-01 23:36:00,yes,2023-09-01 23:36:00,Friday
0HUJLG893U,failure,business,137869.26,-107957.08,600,,2023-09-01 17:34:00,yes,2023-09-01 17:34:00,Friday
SXNTK2NU72,success,,982002.43,982002.43,00,Transaction Approved,2023-09-01 23:09:00,no,2023-09-01 23:09:00,Friday
N4ATIJFQ3R,failure,business,776934.61,776934.61,400,,2023-09-01 06:11:00,no,2023-09-01 06:11:00,Friday
SDUQNH6AOF,failure,technical,240850.71,-105541.65,100,,2023-09-01 19:11:00,yes,2023-09-01 19:11:00,Friday
I65L9RA1WA,failure,technical,306489.59,306489.59,100,,2023-09-01 20:59:00,no,2023-09-01 20:59:00,Friday
QQL7RGGRFD,failure,technical,941897.46,-144431.65,200,,2023-09-01 04:13:00,yes,2023-09-01 04:13:00,Friday
IYZNUHDVDD,failure,business,315087.48,315087.48,400,,2023-09-01 15:39:00,no,2023-09-01 15:39:00,Friday
P1VOXAJHE4,failure,business,89330.99,-54161.89,400,,2023-09-01 00:35:00,yes,2023-09-01 00:35:00,Friday
FAI8Q4LO5E,failure,business,77328.85,77328.85,400,,2023-09-01 04:07:00,no,2023-09-01 04:07:00,Friday
FS3X7S6PQJ,failure,business,560851.57,-180389.84,400,,2023-09-01 09:00:00,yes,2023-09-01 09:00:00,Friday
RNYVP28JDD,success,,935657.36,-508982.15,00,Transaction Approved,2023-09-01 13:15:00,yes,2023-09-01 13:15:00,Friday
OKOX91U04X,failure,technical,191648.32,-92169.96,200,,2023-09-01 20:09:00,yes,2023-09-01 20:09:00,Friday
BQ4V8WFAXS,failure,business,764258.22,764258.22,400,,2023-09-01 12:22:00,no,2023-09-01 12:22:00,Friday
T41YBQMPMA,failure,technical,668451.32,-67985.13,300,,2023-09-01 06:10:00,yes,2023-09-01 06:10:00,Friday
ZYE8Y1U7VG,success,,254544.62,254544.62,00,Transaction Approved,2023-09-01 11:55:00,no,2023-09-01 11:55:00,Friday
2QM3E2RM59,failure,technical,139374.49,-72806.19,200,,2023-09-01 12:39:00,yes,2023-09-01 12:39:00,Friday
VS7JNI1RKJ,success,,552457.65,552457.65,000,Transaction Approved,2023-09-01 23:13:00,no,2023-09-01 23:13:00,Friday
6ZHC9JSJE5,success,,23143.48,23143.48,00,Transaction Approved,2023-09-01 10:06:00,no,2023-09-01 10:06:00,Friday
2H2V9PIA8L,failure,business,573476.81,-114823.67,600,,2023-09-01 01:57:00,yes,2023-09-01 01:57:00,Friday
H1W4H92TF9,failure,technical,466939.68,466939.68,200,,2023-09-01 21:37:00,no,2023-09-01 21:37:00,Friday
ZT9RF4G27G,failure,technical,488251.48,488251.48,300,,2023-09-01 16:05:00,no,2023-09-01 16:05:00,Friday
RQI77YRHW2,failure,business,538072.01,538072.01,400,,2023-09-01 04:02:00,no,2023-09-01 04:02:00,Friday
WTXNFOPTC7,failure,technical,169397.57,-127474.2,200,,2023-09-01 12:38:00,yes,2023-09-01 12:38:00,Friday
XNFY5OAUUZ,failure,business,679727.71,679727.71,600,,2023-09-01 03:01:00,no,2023-09-01 03:01:00,Friday
S2BP67QK83,success,,997417.27,997417.27,000,Transaction Approved,2023-09-01 11:37:00,no,2023-09-01 11:37:00,Friday
HZSOG6JMFM,failure,technical,673309.94,673309.94,300,,2023-09-01 10:16:00,no,2023-09-01 10:16:00,Friday
T00DQFXMC9,failure,technical,520466.24,520466.24,300,,2023-09-01 04:00:00,no,2023-09-01 04:00:00,Friday
XNN629OALI,failure,business,280398.14,280398.14,400,,2023-09-01 20:23:00,no,2023-09-01 20:23:00,Friday
N4UG88GFUZ,failure,technical,898854.57,-436550.25,100,,2023-09-01 08:26:00,yes,2023-09-01 08:26:00,Friday
19W84A2V8D,failure,business,795172.48,-216576.57,600,,2023-09-01 02:28:00,yes,2023-09-01 02:28:00,Friday
EGJP7TC7LN,failure,technical,568584.88,-116643.21,200,,2023-09-01 15:33:00,yes,2023-09-01 15:33:00,Friday
O90X7SVGPV,success,,185430.52,185430.52,00,Transaction Approved,2023-09-01 18:31:00,no,2023-09-01 18:31:00,Friday
05MWUUPW7I,failure,technical,352674.64,-86813.92,100,,2023-09-01 14:00:00,yes,2023-09-01 14:00:00,Friday
J8A9OIV0Y5,success,,551959.46,551959.46,0,Transaction Approved,2023-09-01 07:01:00,no,2023-09-01 07:01:00,Friday
YZOV0TP3NJ,success,,608300.86,608300.86,000,Transaction Approved,2023-09-01 19:22:00,no,2023-09-01 19:22:00,Friday
Q6RY4839VK,failure,business,58650.59,58650.59,500,,2023-09-01 22:54:00,no,2023-09-01 22:54:00,Friday
HI2FPJI9V4,success,,201338.05,201338.05,000,Transaction Approved,2023-09-01 04:21:00,no,2023-09-01 04:21:00,Friday
WLGK6WF57Y,failure,business,169667.76,-76574.18,500,,2023-09-01 11:40:00,yes,2023-09-01 11:40:00,Friday
UHP0J4D981,failure,technical,607951.65,-198617.67,200,,2023-09-01 01:35:00,yes,2023-09-01 01:35:00,Friday
ONITAC97L2,success,,644640.29,644640.29,000,Transaction Approved,2023-09-01 22:23:00,no,2023-09-01 22:23:00,Friday
NR1HABW2LD,failure,technical,888257.18,-620524.52,100,,2023-09-01 10:17:00,yes,2023-09-01 10:17:00,Friday
98D04H31JR,success,,991497.6,-457848.03,0,Transaction Approved,2023-09-01 21:22:00,yes,2023-09-01 21:22:00,Friday
GHCSG0HSTF,failure,business,711934.58,711934.58,500,,2023-09-01 12:39:00,no,2023-09-01 12:39:00,Friday
KXL0AYRPWV,success,,332072.56,-246584.13,000,Transaction Approved,2023-09-01 16:27:00,yes,2023-09-01 16:27:00,Friday
BCW3WIME8W,failure,business,241396.51,241396.51,400,,2023-09-01 13:19:00,no,2023-09-01 13:19:00,Friday
DUGSIE3A06,failure,business,848995.5,848995.5,600,,2023-09-01 17:56:00,no,2023-09-01 17:56:00,Friday
EVSNNC5EYS,failure,business,462739.57,462739.57,600,,2023-09-01 08:38:00,no,2023-09-01 08:38:00,Friday
G95MR4CRVB,failure,technical,186223.79,186223.79,100,,2023-09-01 02:23:00,no,2023-09-01 02:23:00,Friday
5GRPU1MAVI,success,,620182.2,-193074.87,000,Transaction Approved,2023-09-01 01:52:00,yes,2023-09-01 01:52:00,Friday
22FSQYXWK3,success,,764500.6,-139637.09,000,Transaction Approved,2023-09-01 04:54:00,yes,2023-09-01 04:54:00,Friday
48M59XTGF3,success,,864457.96,864457.96,0,Transaction Approved,2023-09-01 13:06:00,no,2023-09-01 13:06:00,Friday
PSXVXUI3C2,failure,business,82112.16,82112.16,400,,2023-09-01 04:01:00,no,2023-09-01 04:01:00,Friday
UMHX9NWNI4,failure,business,452424.16,452424.16,500,,2023-09-01 13:25:00,no,2023-09-01 13:25:00,Friday
XIEMN1LOCN,failure,business,986447.51,986447.51,600,,2023-09-01 13:09:00,no,2023-09-01 13:09:00,Friday
1KDFBI2U3Z,failure,technical,367146.94,367146.94,100,,2023-09-01 03:18:00,no,2023-09-01 03:18:00,Friday
9GSLGIT8W8,success,,46001.69,46001.69,00,Transaction Approved,2023-09-01 08:23:00,no,2023-09-01 08:23:00,Friday
837L1ORV7A,success,,57547.69,57547.69,0,Transaction Approved,2023-09-01 14:00:00,no,2023-09-01 14:00:00,Friday
XDD4X46H6D,failure,business,990969.23,-806090.38,500,,2023-09-01 18:12:00,yes,2023-09-01 18:12:00,Friday
0FD9T5R6RI,success,,494207.19,-180605.01,0,Transaction Approved,2023-09-01 05:24:00,yes,2023-09-01 05:24:00,Friday
ARMB77XVNZ,failure,business,628914.25,-479944.37,400,,2023-09-01 10:33:00,yes,2023-09-01 10:33:00,Friday
UQT8F6067H,failure,business,999554.02,-657287.18,500,,2023-09-01 23:50:00,yes,2023-09-01 23:50:00,Friday
7VJETVWZRJ,failure,business,560969.37,-71190.79,500,,2023-09-01 22:24:00,yes,2023-09-01 22:24:00,Friday
9D05U4WAIQ,success,,234520.35,-159360.54,00,Transaction Approved,2023-09-01 13:54:00,yes,2023-09-01 13:54:00,Friday
9LEMNM3MR1,failure,technical,70576.57,-35427.2,300,,2023-09-01 23:09:00,yes,2023-09-01 23:09:00,Friday
OIC5SCYQQG,success,,153895.03,153895.03,0,Transaction Approved,2023-09-01 22:07:00,no,2023-09-01 22:07:00,Friday
AN6U6EOBWG,failure,business,728766.28,-636958.71,600,,2023-09-01 09:14:00,yes,2023-09-01 09:14:00,Friday
EV2S2HUMEG,failure,business,130279.61,-32491.54,400,,2023-09-01 09:41:00,yes,2023-09-01 09:41:00,Friday
TO6JS4U1KC,success,,2988.61,-1543.2,000,Transaction Approved,2023-09-01 03:20:00,yes,2023-09-01 03:20:00,Friday
O2K23QND9R,success,,766273.1,-571671.78,00,Transaction Approved,2023-09-01 12:40:00,yes,2023-09-01 12:40:00,Friday
YIAPMKNV8N,success,,612511.46,-413812.7,000,Transaction Approved,2023-09-01 17:58:00,yes,2023-09-01 17:58:00,Friday
QCQ1XPOQAL,success,,17050.74,-7153.22,000,Transaction Approved,2023-09-01 09:21:00,yes,2023-09-01 09:21:00,Friday
XZMIIJGD19,failure,technical,820071.72,-679072.56,100,,2023-09-01 14:06:00,yes,2023-09-01 14:06:00,Friday
DCGL7UR6FA,success,,897977.8,-127721.31,0,Transaction Approved,2023-09-01 16:34:00,yes,2023-09-01 16:34:00,Friday
3UD5MFC768,success,,802426.65,802426.65,0,Transaction Approved,2023-09-01 01:32:00,no,2023-09-01 01:32:00,Friday
TGEEFV0H7I,failure,technical,770937.43,770937.43,200,,2023-09-01 12:51:00,no,2023-09-01 12:51:00,Friday
ZAZRYHTFE6,success,,92052.48,-70556.95,00,Transaction Approved,2023-09-01 19:41:00,yes,2023-09-01 19:41:00,Friday
3YRLZH80NE,failure,business,335922.23,-224707.57,400,,2023-09-01 18:52:00,yes,2023-09-01 18:52:00,Friday
OZ4RCCG3KI,failure,technical,828079.58,828079.58,200,,2023-09-01 13:30:00,no,2023-09-01 13:30:00,Friday
DJAMOZ4ABY,success,,491111.09,491111.09,000,Transaction Approved,2023-09-01 04:20:00,no,2023-09-01 04:20:00,Friday
9UUX09JSDK,failure,technical,767033.48,767033.48,300,,2023-09-01 20:25:00,no,2023-09-01 20:25:00,Friday
IZLVQNPSRL,failure,business,866413.85,866413.85,600,,2023-09-01 03:56:00,no,2023-09-01 03:56:00,Friday
DQ05EX8YGY,success,,683829.42,683829.42,000,Transaction Approved,2023-09-01 18:05:00,no,2023-09-01 18:05:00,Friday
PG5R551AMN,success,,295665.23,295665.23,00,Transaction Approved,2023-09-01 21:12:00,no,2023-09-01 21:12:00,Friday
BPD0X9MYT0,success,,98675.03,98675.03,00,Transaction Approved,2023-09-01 22:38:00,no,2023-09-01 22:38:00,Friday
S4TMVQ5NNA,failure,technical,761923.03,761923.03,200,,2023-09-02 19:36:00,no,2023-09-02 19:36:00,Saturday
XCSTOTNJ8M,success,,501870.02,501870.02,000,Transaction Approved,2023-09-02 19:07:00,no,2023-09-02 19:07:00,Saturday
IWAX9U0ET0,success,,701878.91,701878.91,0,Transaction Approved,2023-09-02 04:49:00,no,2023-09-02 04:49:00,Saturday
90GXIHPO7G,failure,technical,921909.88,921909.88,100,,2023-09-02 11:16:00,no,2023-09-02 11:16:00,Saturday
B6VFCF2OXJ,failure,technical,843354.78,-279973.25,300,,2023-09-02 01:12:00,yes,2023-09-02 01:12:00,Saturday
Y9V45DGC3F,failure,technical,598566.56,-319590.84,200,,2023-09-02 16:45:00,yes,2023-09-02 16:45:00,Saturday
CWO9FBTOWP,success,,573402.88,-211226.16,000,Transaction Approved,2023-09-02 18:29:00,yes,2023-09-02 18:29:00,Saturday
1VZ55QS112,success,,685785.44,-132019.49,00,Transaction Approved,2023-09-02 15:45:00,yes,2023-09-02 15:45:00,Saturday
7BSGV0TARX,success,,582010.39,582010.39,0,Transaction Approved,2023-09-02 15:12:00,no,2023-09-02 15:12:00,Saturday
392KEDEIUG,success,,359050.32,-165695.77,000,Transaction Approved,2023-09-02 08:53:00,yes,2023-09-02 08:53:00,Saturday
873XPXC2NF,failure,technical,841437.42,841437.42,100,,2023-09-02 03:42:00,no,2023-09-02 03:42:00,Saturday
27UN5SFUT2,success,,520184.4,520184.4,000,Transaction Approved,2023-09-02 05:21:00,no,2023-09-02 05:21:00,Saturday
UJ1FCLJRB5,failure,technical,437940.36,437940.36,100,,2023-09-02 13:07:00,no,2023-09-02 13:07:00,Saturday
LY27MEOCQX,success,,897126.1,897126.1,00,Transaction Approved,2023-09-02 02:58:00,no,2023-09-02 02:58:00,Saturday
KS63GOBQMK,failure,technical,402938.54,402938.54,100,,2023-09-02 07:10:00,no,2023-09-02 07:10:00,Saturday
HNXQN6PAUT,success,,832750.2,-91240.43,000,Transaction Approved,2023-09-02 00:36:00,yes,2023-09-02 00:36:00,Saturday
R7TM3RRPZ6,success,,621000.59,621000.59,0,Transaction Approved,2023-09-02 11:06:00,no,2023-09-02 11:06:00,Saturday
ZJVKGO0NQJ,failure,business,277396.73,277396.73,400,,2023-09-02 17:08:00,no,2023-09-02 17:08:00,Saturday
93DP46FFUA,success,,915772.47,915772.47,00,Transaction Approved,2023-09-02 23:51:00,no,2023-09-02 23:51:00,Saturday
Z856UGPG38,failure,business,32106.81,-25972.95,500,,2023-09-02 04:51:00,yes,2023-09-02 04:51:00,Saturday
ELIV6NO34G,success,,86670.86,86670.86,000,Transaction Approved,2023-09-02 21:12:00,no,2023-09-02 21:12:00,Saturday
ZGIDLL2X6C,success,,719237.66,719237.66,00,Transaction Approved,2023-09-02 04:20:00,no,2023-09-02 04:20:00,Saturday
P9ZG5LC9ON,failure,business,235729.29,235729.29,400,,2023-09-02 07:57:00,no,2023-09-02 07:57:00,Saturday
OA4LNZZ248,failure,technical,78431.04,-39215.73,300,,2023-09-02 09:17:00,yes,2023-09-02 09:17:00,Saturday
WTNDEKWVJK,success,,436565.26,436565.26,0,Transaction Approved,2023-09-02 23:25:00,no,2023-09-02 23:25:00,Saturday
HOI4DOP43Y,failure,technical,175421.6,175421.6,100,,2023-09-02 07:57:00,no,2023-09-02 07:57:00,Saturday
FCFE6XFZQN,failure,technical,363033.86,-78449.66,200,,2023-09-02 01:50:00,yes,2023-09-02 01:50:00,Saturday
B84FNS0LKL,success,,722917.87,-206480.43,00,Transaction Approved,2023-09-02 05:47:00,yes,2023-09-02 05:47:00,Saturday
QRQN2EP4BL,success,,761607.75,-262333.83,000,Transaction Approved,2023-09-02 05:24:00,yes,2023-09-02 05:24:00,Saturday
SBVSYEVEBB,failure,business,610134.32,610134.32,500,,2023-09-02 14:22:00,no,2023-09-02 14:22:00,Saturday
W7F6HNXW52,success,,871589.41,871589.41,000,Transaction Approved,2023-09-02 19:27:00,no,2023-09-02 19:27:00,Saturday
A2T0PCFBTD,success,,155308.57,-67099.68,00,Transaction Approved,2023-09-02 10:35:00,yes,2023-09-02 10:35:00,Saturday
7B0DX21GYW,success,,445985.94,-208072.47,0,Transaction Approved,2023-09-02 13:57:00,yes,2023-09-02 13:57:00,Saturday
ZMHAQLTKNE,success,,487492.11,-421152.34,0,Transaction Approved,2023-09-02 12:58:00,yes,2023-09-02 12:58:00,Saturday
ILA4RZKM36,failure,business,434611.43,-60170.12,400,,2023-09-02 18:54:00,yes,2023-09-02 18:54:00,Saturday
SPUSSMP3MD,success,,615165.39,615165.39,0,Transaction Approved,2023-09-02 00:54:00,no,2023-09-02 00:54:00,Saturday
ZZBGFJCMGK,failure,business,764070.7,764070.7,500,,2023-09-02 05:58:00,no,2023-09-02 05:58:00,Saturday
VNIP1OE30K,success,,35124.9,35124.9,000,Transaction Approved,2023-09-02 13:01:00,no,2023-09-02 13:01:00,Saturday
Q12QV76KEE,failure,technical,975568.96,-654841.39,300,,2023-09-02 19:02:00,yes,2023-09-02 19:02:00,Saturday
5FJ61Y4LND,success,,426951.58,-362772.93,000,Transaction Approved,2023-09-02 23:14:00,yes,2023-09-02 23:14:00,Saturday
I8MLG6PFGW,success,,475340.74,-176984.88,000,Transaction Approved,2023-09-02 09:09:00,yes,2023-09-02 09:09:00,Saturday
O5PFNHN879,failure,technical,60534.29,60534.29,100,,2023-09-02 03:40:00,no,2023-09-02 03:40:00,Saturday
4OQJ6RRW1N,success,,325243.56,-92654.7,0,Transaction Approved,2023-09-02 18:05:00,yes,2023-09-02 18:05:00,Saturday
W0KP2V6YJT,failure,business,158987.97,-128367.09,500,,2023-09-02 12:18:00,yes,2023-09-02 12:18:00,Saturday
BLOQK7XH3Q,success,,602562.24,-519185.42,000,Transaction Approved,2023-09-02 12:15:00,yes,2023-09-02 12:15:00,Saturday
WG9FF0MH2E,failure,technical,574645.83,-397900.34,200,,2023-09-02 14:16:00,yes,2023-09-02 14:16:00,Saturday
ALNUJ8AVT3,success,,550451.82,-223377.32,00,Transaction Approved,2023-09-02 13:29:00,yes,2023-09-02 13:29:00,Saturday
4RF4Z53QNW,success,,259032.4,259032.4,00,Transaction Approved,2023-09-02 20:25:00,no,2023-09-02 20:25:00,Saturday
ASUL9N5WCL,success,,471700.21,-370974.18,0,Transaction Approved,2023-09-02 11:47:00,yes,2023-09-02 11:47:00,Saturday
CLJ32LOIN3,success,,557548.55,557548.55,0,Transaction Approved,2023-09-02 15:10:00,no,2023-09-02 15:10:00,Saturday
289DQ5YKF4,failure,business,739215.72,739215.72,400,,2023-09-02 10:26:00,no,2023-09-02 10:26:00,Saturday
2I8WUIXC29,success,,229062.68,-144128.48,000,Transaction Approved,2023-09-02 01:16:00,yes,2023-09-02 01:16:00,Saturday
2HLNG7MDN6,success,,838922.65,-173493.12,000,Transaction Approved,2023-09-02 13:26:00,yes,2023-09-02 13:26:00,Saturday
2WYZENO15M,success,,428014.29,-201285.33,00,Transaction Approved,2023-09-02 10:39:00,yes,2023-09-02 10:39:00,Saturday
LAS7O74LBT,success,,920785.41,920785.41,0,Transaction Approved,2023-09-02 20:32:00,no,2023-09-02 20:32:00,Saturday
FSBW68Q5TB,failure,business,965379.45,-218380.45,600,,2023-09-02 04:25:00,yes,2023-09-02 04:25:00,Saturday
BUX237LS7D,failure,business,741028.55,-624495.82,400,,2023-09-02 01:05:00,yes,2023-09-02 01:05:00,Saturday
SP97OPVJRM,success,,637977.78,-279833.26,000,Transaction Approved,2023-09-02 22:08:00,yes,2023-09-02 22:08:00,Saturday
EAAALRWOFV,success,,100353.75,100353.75,0,Transaction Approved,2023-09-02 05:01:00,no,2023-09-02 05:01:00,Saturday
S6N61QBFUV,failure,business,956948.71,-343171.87,400,,2023-09-02 11:04:00,yes,2023-09-02 11:04:00,Saturday
G3GQCVDR4R,failure,technical,37232.07,37232.07,300,,2023-09-02 19:18:00,no,2023-09-02 19:18:00,Saturday
38J2QV49P7,failure,technical,719805.62,-193104.63,200,,2023-09-02 19:22:00,yes,2023-09-02 19:22:00,Saturday
8LXLVXI5WW,failure,business,585808.47,585808.47,400,,2023-09-02 14:00:00,no,2023-09-02 14:00:00,Saturday
EHDW104TAB,success,,811419.44,811419.44,0,Transaction Approved,2023-09-02 00:20:00,no,2023-09-02 00:20:00,Saturday
DNDPOWDHBX,failure,business,918800.77,918800.77,600,,2023-09-02 00:33:00,no,2023-09-02 00:33:00,Saturday
ZESDL6JWUJ,failure,business,796650.81,796650.81,400,,2023-09-02 14:08:00,no,2023-09-02 14:08:00,Saturday
K9PTFVVYH6,failure,business,920112.55,-669503.43,400,,2023-09-02 09:08:00,yes,2023-09-02 09:08:00,Saturday
YT2HNM6VWO,success,,455555.1,-141452.9,000,Transaction Approved,2023-09-02 09:44:00,yes,2023-09-02 09:44:00,Saturday
6KA67O8640,success,,614506.17,614506.17,0,Transaction Approved,2023-09-02 02:36:00,no,2023-09-02 02:36:00,Saturday
E7W3PFRK3M,failure,business,279451.7,279451.7,600,,2023-09-02 05:00:00,no,2023-09-02 05:00:00,Saturday
5HBI8Z8XHO,success,,832483.37,-672329.11,000,Transaction Approved,2023-09-02 16:34:00,yes,2023-09-02 16:34:00,Saturday
LEO96XNSYC,failure,business,291958.3,-95903.35,500,,2023-09-02 01:43:00,yes,2023-09-02 01:43:00,Saturday
DM3QM9IBKM,success,,431877.18,-181751.0,000,Transaction Approved,2023-09-02 22:36:00,yes,2023-09-02 22:36:00,Saturday
WZUG3BOQJE,failure,technical,592282.53,-259376.65,200,,2023-09-02 06:47:00,yes,2023-09-02 06:47:00,Saturday
WLNVBNKTF3,success,,723401.1,-599712.1,00,Transaction Approved,2023-09-02 00:53:00,yes,2023-09-02 00:53:00,Saturday
9CTPMUC7CL,failure,business,364232.47,364232.47,600,,2023-09-02 10:18:00,no,2023-09-02 10:18:00,Saturday
R0CZU1L7JN,failure,technical,212762.35,-118875.92,300,,2023-09-02 05:59:00,yes,2023-09-02 05:59:00,Saturday
0J55M9NHS4,failure,technical,548151.56,548151.56,300,,2023-09-02 03:39:00,no,2023-09-02 03:39:00,Saturday
01MSYU8VSP,failure,technical,620536.99,-118908.13,200,,2023-09-02 03:47:00,yes,2023-09-02 03:47:00,Saturday
BQN6W0QZJY,success,,351321.06,351321.06,0,Transaction Approved,2023-09-02 07:25:00,no,2023-09-02 07:25:00,Saturday
FLIRKRB2P0,success,,70682.11,-26129.29,00,Transaction Approved,2023-09-02 07:49:00,yes,2023-09-02 07:49:00,Saturday
ZQ389FAQ96,success,,644083.3,-394588.14,0,Transaction Approved,2023-09-02 11:49:00,yes,2023-09-02 11:49:00,Saturday
3SDJAH31U0,failure,technical,660218.49,660218.49,100,,2023-09-02 15:53:00,no,2023-09-02 15:53:00,Saturday
IHSXDR0Z22,success,,656715.15,-229569.1,0,Transaction Approved,2023-09-02 01:27:00,yes,2023-09-02 01:27:00,Saturday
XKMTLGI34E,success,,833150.31,833150.31,00,Transaction Approved,2023-09-02 10:53:00,no,2023-09-02 10:53:00,Saturday
BLYBB47U7N,failure,business,953328.94,-810282.13,600,,2023-09-02 14:13:00,yes,2023-09-02 14:13:00,Saturday
YF77YIGAYL,failure,technical,70776.57,-20227.77,300,,2023-09-02 22:36:00,yes,2023-09-02 22:36:00,Saturday
A382L6R8A7,success,,796544.9,-201620.89,0,Transaction Approved,2023-09-02 15:56:00,yes,2023-09-02 15:56:00,Saturday
LKVQYZAFBC,success,,773808.49,773808.49,00,Transaction Approved,2023-09-02 20:57:00,no,2023-09-02 20:57:00,Saturday
857IGO8COJ,success,,204824.4,-70176.88,000,Transaction Approved,2023-09-02 06:53:00,yes,2023-09-02 06:53:00,Saturday
66Z9VO0HX6,failure,business,100972.52,100972.52,400,,2023-09-02 00:48:00,no,2023-09-02 00:48:00,Saturday
QUVW4LQAFQ,failure,technical,279297.09,279297.09,300,,2023-09-02 20:49:00,no,2023-09-02 20:49:00,Saturday
HT3Q4E13P8,success,,120321.62,120321.62,00,Transaction Approved,2023-09-02 17:46:00,no,2023-09-02 17:46:00,Saturday
ECVUUUXH0L,failure,technical,659971.95,-70320.09,300,,2023-09-02 08:53:00,yes,2023-09-02 08:53:00,Saturday
9OWN4K2QS7,success,,619434.02,619434.02,000,Transaction Approved,2023-09-02 10:32:00,no,2023-09-02 10:32:00,Saturday
FNPR91DI4F,success,,844987.23,-287126.88,0,Transaction Approved,2023-09-02 11:26:00,yes,2023-09-02 11:26:00,Saturday
ELI9KFITZ0,success,,617560.47,617560.47,0,Transaction Approved,2023-09-02 20:20:00,no,2023-09-02 20:20:00,Saturday
KLEUG5RDAJ,success,,981448.0,-655941.94,0,Transaction Approved,2023-09-02 03:30:00,yes,2023-09-02 03:30:00,Saturday
8EEA1BQ6IN,success,,699841.16,699841.16,000,Transaction Approved,2023-09-02 22:08:00,no,2023-09-02 22:08:00,Saturday
GJRDVZG0BB,failure,business,729528.5,729528.5,600,,2023-09-02 05:26:00,no,2023-09-02 05:26:00,Saturday
Z8U7W0HS7A,success,,894104.03,-459113.26,0,Transaction Approved,2023-09-03 03:27:00,yes,2023-09-03 03:27:00,Sunday
Z5I145UQSL,success,,756610.21,-114249.99,00,Transaction Approved,2023-09-03 11:55:00,yes,2023-09-03 11:55:00,Sunday
RF6I14NLDN,success,,269585.19,269585.19,0,Transaction Approved,2023-09-03 01:02:00,no,2023-09-03 01:02:00,Sunday
42HYD1JXVY,failure,technical,187895.84,-85478.11,300,,2023-09-03 18:53:00,yes,2023-09-03 18:53:00,Sunday
4HE8VM424K,failure,business,633193.24,633193.24,500,,2023-09-03 14:18:00,no,2023-09-03 14:18:00,Sunday
UFN9L70U1R,success,,389814.56,389814.56,0,Transaction Approved,2023-09-03 00:18:00,no,2023-09-03 00:18:00,Sunday
ALL2RWHY34,success,,54903.73,-43519.64,0,Transaction Approved,2023-09-03 09:16:00,yes,2023-09-03 09:16:00,Sunday
4HV8KMXT1Y,success,,897233.71,-281537.88,000,Transaction Approved,2023-09-03 20:37:00,yes,2023-09-03 20:37:00,Sunday
6GZPOP5G1V,failure,business,614577.11,614577.11,400,,2023-09-03 11:08:00,no,2023-09-03 11:08:00,Sunday
FICADGJK5I,failure,business,796830.74,796830.74,400,,2023-09-03 00:19:00,no,2023-09-03 00:19:00,Sunday
XA0YCKIM9A,failure,business,350190.49,350190.49,400,,2023-09-03 22:26:00,no,2023-09-03 22:26:00,Sunday
RYQCX336VT,failure,technical,860102.2,860102.2,100,,2023-09-03 09:38:00,no,2023-09-03 09:38:00,Sunday
K9GCUTKVCJ,success,,922777.15,922777.15,000,Transaction Approved,2023-09-03 16:51:00,no,2023-09-03 16:51:00,Sunday
